id;felhasznalo_id;nev;created_at;updated_at
1;1;Apának;2025.09.02 08:10;2025.09.02 09:00
2;2;Szülinapra;2025.09.02 08:20;2025.09.02 09:00
3;1;Magamnak;2025.09.02 09:10;2025.09.02 10:50
4;3;Anyának;2025.09.03 10:00;2025.09.03 10:30
5;2;Barátoknak;2025.09.03 11:15;2025.09.03 11:45
6;1;Karácsonyra;2025.09.04 09:00;2025.09.04 09:30
7;3;Valentin-napra;2025.09.04 10:20;2025.09.04 10:50
8;2;Ballagásra;2025.09.05 08:50;2025.09.05 09:20
9;1;Esküvőre;2025.09.05 09:10;2025.09.05 09:40
10;3;Páromnak;2025.09.06 10:00;2025.09.06 10:30
11;2;Gyerekeknek;2025.09.06 11:10;2025.09.06 11:40
12;1;Felnőtteknek;2025.09.07 08:30;2025.09.07 09:00
13;3;Időseknek;2025.09.07 09:50;2025.09.07 10:20
14;2;Vicces ajándékok;2025.09.08 08:40;2025.09.08 09:10
15;1;Hasznos ajándékok;2025.09.08 09:15;2025.09.08 09:45
16;3;Luxus ajándékok;2025.09.09 10:00;2025.09.09 10:30
17;2;Kézműves ajándékok;2025.09.09 11:05;2025.09.09 11:35
18;1;Romantikus ajándékok;2025.09.10 08:20;2025.09.10 08:50
19;3;Technológiai ajándékok;2025.09.10 09:40;2025.09.10 10:10
20;2;Egyedi ajándékok;2025.09.11 08:55;2025.09.11 09:25
